id,name,price,currency,category
521,Banana Turning,83,Ruble,Electronics
522,Kippers - Smoked,10,Yuan Renminbi,Shoes
523,"Clams - Littleneck, Whole",21,Euro,Jewelry
524,"Pork - Ham, Virginia",64,Ruble,Books
525,Venison - Ground,90,Dollar,Industrial
526,Lamb - Ground,30,Peso,Movies
527,Blackberries,49,Ruble,Industrial
528,Beef - Tenderloin - Aa,61,Manat,Outdoors
529,"Syrup - Monin, Irish Cream",57,Yuan Renminbi,Industrial
530,Compound - Orange,8,Yuan Renminbi,Toys
531,Island Oasis - Banana Daiquiri,80,Zloty,Health
532,Grapes - Red,62,Rupiah,Baby
533,Potato - Sweet,44,Yuan Renminbi,Music
534,Coffee Beans - Chocolate,17,Real,Grocery
535,Icecream - Dstk Cml And Fdg,64,Real,Home
536,Muffin Orange Individual,43,Yuan Renminbi,Movies
537,Beer - Molson Excel,61,Zloty,Music
538,Wine - Chenin Blanc K.w.v.,99,Dollar,Industrial
539,"Crush - Grape, 355 Ml",94,Yuan Renminbi,Movies
540,"Flour - Bran, Red",53,Peso,Electronics
541,Lid - 3oz Med Rec,42,Yuan Renminbi,Tools
542,Rice - 7 Grain Blend,7,Dollar,Sports
543,Longos - Greek Salad,20,Rupiah,Clothing
544,Parasol Pick Stir Stick,17,Hryvnia,Computers
545,Cookie Dough - Chocolate Chip,99,Ruble,Health
546,"Mushroom - Trumpet, Dry",91,Euro,Jewelry
547,Oven Mitt - 13 Inch,2,Yen,Jewelry
548,"Syrup - Monin, Swiss Choclate",21,Ringgit,Grocery
549,Swordfish Loin Portions,62,Euro,Industrial
550,Wine - Chablis J Moreau Et Fils,88,Yuan Renminbi,Baby
551,Lambcasing,66,Yuan Renminbi,Kids
552,Pork Loin Cutlets,32,Rupiah,Sports
553,Cheese - Camembert,42,Franc,Movies
554,Wine - Magnotta - Belpaese,32,Krona,Clothing
555,Cheese Cloth No 60,2,Rupiah,Games
556,Soup - Campbells Asian Noodle,74,Franc,Movies
557,Ice Cream Bar - Oreo Cone,85,Peso,Automotive
558,Wine - Penfolds Koonuga Hill,75,Krona,Jewelry
559,Puree - Strawberry,25,Tugrik,Garden
560,Foil - Round Foil,21,Peso,Books
561,Icecream Cone - Areo Chocolate,72,Rupiah,Grocery
562,Beef - Ground Lean Fresh,12,Ruble,Health
563,Huck Towels White,98,Rupiah,Jewelry
564,"Juice - Orange, 341 Ml",36,Pa'anga,Kids
565,Veal - Sweetbread,71,Rupiah,Computers
566,Beer - Guiness,9,Somoni,Baby
567,Broom - Push,27,Euro,Electronics
568,Fenngreek Seed,17,Euro,Toys
569,Towels - Paper / Kraft,45,Peso,Books
570,"Sugar - Brown, Individual",24,Yuan Renminbi,Movies
571,"Chicken - Leg, Fresh",54,Peso,Jewelry
572,Lobster - Tail 6 Oz,50,Som,Automotive
573,Lamb Shoulder Boneless Nz,10,Sol,Baby
574,Sansho Powder,79,Koruna,Toys
575,Sauce - Salsa,56,Dollar,Clothing
576,Steam Pan - Half Size Deep,29,Rupiah,Industrial
577,Soupcontfoam16oz 116con,41,Peso,Tools
578,Table Cloth 72x144 White,61,Som,Beauty
579,V8 - Berry Blend,72,Peso,Electronics
580,Tomatoes - Heirloom,66,Dong,Baby
581,"Coffee - Colombian, Portioned",22,Yuan Renminbi,Computers
582,Honey - Liquid,85,Dirham,Beauty
583,Chef Hat 20cm,48,Tugrik,Sports
584,Water - Evian 355 Ml,54,Hryvnia,Beauty
585,Vinegar - Cider,100,Rupiah,Clothing
586,Bacardi Mojito,23,Rupiah,Toys
587,Grand Marnier,40,Rupiah,Movies
588,Pastry - Chocolate Marble Tea,50,Yuan Renminbi,Beauty
589,Wine - Duboeuf Beaujolais,86,Hryvnia,Movies
590,Bread Bowl Plain,73,Sol,Kids
591,Sage Ground Wiberg,34,Baht,Kids
592,Pastry - Carrot Muffin - Mini,51,Dong,Outdoors
593,"Pasta - Cappellini, Dry",71,Rupiah,Baby
594,Chickensplit Half,54,Euro,Sports
595,Turkey Leg With Drum And Thigh,16,Yuan Renminbi,Music
596,Soup - Campbells Chili,45,Yuan Renminbi,Outdoors
597,Soup - Base Broth Beef,18,Ruble,Movies
598,"Glass - Wine, Plastic, Clear 5 Oz",30,Rupiah,Outdoors
599,Beer - Sleeman Fine Porter,21,Euro,Industrial
600,Cornish Hen,41,Euro,Clothing
601,"Wine - White, Mosel Gold",20,Rupiah,Health
602,Rice - Brown,55,Ruble,Clothing
603,"Cheese - Havarti, Roasted Garlic",30,Euro,Garden
604,Pepper - Yellow Bell,20,Yuan Renminbi,Outdoors
605,Towel Dispenser,25,Krone,Baby
606,Blue Curacao - Marie Brizard,44,Real,Baby
607,Pork Casing,62,Yuan Renminbi,Garden
608,"Tomatoes - Vine Ripe, Red",79,Peso,Health
609,Pineapple - Regular,31,Shekel,Jewelry
610,Nut - Pumpkin Seeds,49,Won,Kids
611,Cocoa Powder - Natural,55,Zloty,Industrial
612,Sauce Bbq Smokey,2,Euro,Industrial
613,Coffee - Flavoured,18,Zloty,Beauty
614,Bar Mix - Lemon,100,Hryvnia,Games
615,Beef - Salted,80,Yuan Renminbi,Electronics
616,Yeast Dry - Fermipan,30,Rand,Electronics
617,Sauce - Alfredo,55,Naira,Shoes
618,"Crab - Dungeness, Whole, live",33,Euro,Beauty
619,Foie Gras,31,Euro,Jewelry
620,Dc - Sakura Fu,84,Real,Health
621,Peas Snow,71,Ruble,Movies
622,"Soup - Campbells, Creamy",33,Peso,Grocery
623,Grouper - Fresh,73,Peso,Tools
624,Wine - Baron De Rothschild,31,Euro,Shoes
625,Rye Special Old,91,Ringgit,Movies
626,Kiwi,30,Dollar,Music
627,Squid - U - 10 Thailand,16,Krona,Tools
628,Melon - Cantaloupe,98,Peso,Clothing
629,Flour - Fast / Rapid,15,Dollar,Home
630,Sauce - Vodka Blush,7,Dinar,Garden
631,Steampan Lid,16,Rand,Automotive
632,Beer - Heinekin,35,Euro,Grocery
633,"Beef - Rib Roast, Cap On",21,Yuan Renminbi,Electronics
634,Coffee - Almond Amaretto,25,Ruble,Electronics
635,Praline Paste,8,Peso,Health
636,Wine - Cotes Du Rhone,38,Shilling,Computers
637,"Crab - Dungeness, Whole",87,Zloty,Music
638,"Juice - Tomato, 48 Oz",64,Yuan Renminbi,Outdoors
639,Honey - Comb,27,Krone,Electronics
640,Halibut - Steaks,33,Peso,Toys
641,Sauce - Soy Low Sodium - 3.87l,35,Euro,Movies
642,Cheese - Brick With Pepper,73,Peso,Automotive
643,Piping - Bags Quizna,17,Dram,Grocery
644,Longos - Chicken Curried,47,Ruble,Clothing
645,Triple Sec - Mcguinness,25,Som,Jewelry
646,Tea - Orange Pekoe,68,Peso,Beauty
647,Wine - Beringer Founders Estate,26,Euro,Sports
648,Chips - Doritos,80,Yuan Renminbi,Tools
649,V8 - Berry Blend,44,Euro,Tools
650,Wine - Duboeuf Beaujolais,85,Euro,Sports
651,Napkin - Beverage 1 Ply,38,Peso,Computers
652,Water - Green Tea Refresher,31,Euro,Movies
653,Ecolab Digiclean Mild Fm,40,Yuan Renminbi,Baby
654,"Lamb - Pieces, Diced",11,Peso,Health
655,Sloe Gin - Mcguinness,42,Yuan Renminbi,Sports
656,"Salmon - Whole, 4 - 6 Pounds",11,Won,Computers
657,Pastry - Cherry Danish - Mini,100,Euro,Kids
658,Coffee - Almond Amaretto,6,Rupiah,Grocery
659,Lettuce - Lambs Mash,51,Euro,Beauty
660,Eggplant Oriental,47,Yuan Renminbi,Baby
661,"Pasta - Shells, Medium, Dry",3,Yuan Renminbi,Computers
662,Pastry - Choclate Baked,61,Rupiah,Electronics
663,Wine - Ruffino Chianti,7,Ruble,Garden
664,Worcestershire Sauce,78,Bolivar,Movies
665,Cheese - Comte,83,Yuan Renminbi,Movies
666,Carbonated Water - Wildberry,34,Ruble,Sports
667,Ecolab - Hobart Upr Prewash Arm,96,Euro,Industrial
668,Island Oasis - Peach Daiquiri,10,Dollar,Jewelry
669,Lambcasing,79,Euro,Outdoors
670,Tomato - Plum With Basil,26,Yuan Renminbi,Beauty
671,Jameson - Irish Whiskey,40,Yuan Renminbi,Jewelry
672,Cheese - Asiago,79,Yuan Renminbi,Clothing
673,Coffee Swiss Choc Almond,97,Krona,Music
674,Icecream Bar - Del Monte,68,Bolivar,Tools
675,"Trout - Hot Smkd, Dbl Fillet",94,Lari,Garden
676,Sugar - Monocystal / Rock,26,Peso,Games
677,Snapple - Mango Maddness,90,Yuan Renminbi,Sports
678,Wine - Riesling Dr. Pauly,89,Real,Health
679,Vinegar - Red Wine,100,Euro,Industrial
680,Bread Base - Italian,78,Birr,Industrial
681,Cookie Dough - Peanut Butter,17,Zloty,Garden
682,Beer - Upper Canada Lager,31,Dinar,Games
683,"Pepper - Black, Ground",54,Rupiah,Games
684,"Sugar - Sweet N Low, Individual",41,Yuan Renminbi,Movies
685,"Schnappes - Peach, Walkers",18,Rupiah,Music
686,Basil - Pesto Sauce,67,Naira,Industrial
687,Garbage Bags - Black,14,Krona,Beauty
688,Creme De Cacao Mcguines,36,Euro,Shoes
689,Yoghurt Tubes,22,Dollar,Games
690,Wine - Chardonnay Mondavi,71,Yuan Renminbi,Shoes
691,Lamb Tenderloin Nz Fr,13,Yuan Renminbi,Automotive
692,"Wine - Red, Cooking",63,Rupee,Electronics
693,Flavouring - Raspberry,1,Baht,Outdoors
694,Spinach - Packaged,13,Euro,Home
695,Beef - Texas Style Burger,85,Ruble,Clothing
696,Chicken - Tenderloin,40,Ruble,Health
697,Coffee - Decafenated,24,Peso,Automotive
698,Cinnamon Rolls,86,Yuan Renminbi,Games
699,Beer - Camerons Auburn,39,Rupiah,Books
700,Bread - Calabrese Baguette,22,Euro,Outdoors
701,Tea Peppermint,83,Peso,Home
702,Bread - Corn Muffaleta Onion,44,Rupiah,Electronics
703,Soup Bowl Clear 8oz92008,25,Yuan Renminbi,Grocery
704,Coffee - Frthy Coffee Crisp,11,Ruble,Toys
705,Wine - Crozes Hermitage E.,10,Yuan Renminbi,Home
706,Beer - Molson Excel,66,Yuan Renminbi,Beauty
707,"Mushroom - Enoki, Dry",35,Yuan Renminbi,Electronics
708,Flour Dark Rye,53,Manat,Kids
709,Bols Melon Liqueur,54,Real,Toys
710,"Melon - Watermelon, Seedless",3,Rupiah,Beauty
711,Cheese - Le Cru Du Clocher,13,Franc,Electronics
712,"Mushroom - Chanterelle, Dry",92,Yuan Renminbi,Electronics
713,"Gingerale - Schweppes, 355 Ml",7,Yuan Renminbi,Electronics
714,Bread - French Stick,76,Ruble,Games
715,Wine - Riesling Dr. Pauly,51,Yuan Renminbi,Games
716,Flour - Whole Wheat,67,Krona,Tools
717,Bread Sour Rolls,14,Rupiah,Computers
718,Bagel - Plain,72,Euro,Health
719,Cheese - Cheddarsliced,25,Dollar,Health
720,Nantucket Orange Juice,29,Peso,Movies
721,Wine - White Cab Sauv.on,32,Dram,Garden
722,Tobasco Sauce,44,Euro,Outdoors
723,"Yogurt - Blueberry, 175 Gr",59,Krone,Computers
724,Oil - Canola,92,Yuan Renminbi,Industrial
725,Lotus Rootlets - Canned,13,Yuan Renminbi,Computers
726,"Syrup - Golden, Lyles",62,Dollar,Health
727,"Bread - Roll, Soft White Round",55,Rupee,Clothing
728,Onions - Red Pearl,14,Hryvnia,Jewelry
729,"Beef - Tenderlion, Center Cut",65,Ruble,Health
730,Sponge Cake Mix - Vanilla,82,Shekel,Industrial
731,"Wine - Red, Gamay Noir",43,Euro,Garden
732,"Water - Mineral, Natural",30,Kip,Grocery
733,Appetizer - Southwestern,58,Euro,Clothing
734,Prunes - Pitted,95,Rupiah,Home
735,Ham Black Forest,60,Yuan Renminbi,Electronics
736,Bread - Raisin Walnut Oval,44,Colon,Beauty
737,Sauce - Sesame Thai Dressing,97,Zloty,Books
738,"Chilli Paste, Hot Sambal Oelek",18,Rupiah,Industrial
739,Bread - Multigrain Oval,33,Koruna,Beauty
740,"Beef - Roasted, Cooked",86,Ringgit,Books
741,Sauce - Salsa,23,Dong,Movies
742,Flour - Rye,46,Zloty,Electronics
743,Tomato - Peeled Italian Canned,33,Dollar,Computers
744,Dikon,86,Yuan Renminbi,Computers
745,Wine - Fontanafredda Barolo,62,Euro,Books
746,Cardamon Seed / Pod,83,Denar,Movies
747,Raspberries - Frozen,79,Euro,Shoes
748,Sausage - Meat,81,Afghani,Music
749,Wiberg Super Cure,43,Peso,Home
750,Cookie Trail Mix,6,Rupiah,Music
751,Bonito Flakes - Toku Katsuo,94,Yuan Renminbi,Shoes
752,"Pepper - Green, Chili",60,Euro,Garden
753,Beer - Steamwhistle,57,Rand,Books
754,Coffee - 10oz Cup 92961,23,Sol,Shoes
755,"Cake Circle, Foil, Scallop",23,Euro,Garden
756,Red Currant Jelly,83,Krona,Outdoors
757,Lotus Rootlets - Canned,87,Koruna,Movies
758,Wine - Wyndham Estate Bin 777,94,Yen,Home
759,"Pasta - Lasagna Noodle, Frozen",74,Peso,Beauty
760,Appetizer - Escargot Puff,44,Yuan Renminbi,Music
761,Wine - Trimbach Pinot Blanc,45,Peso,Jewelry
762,"Bread - White, Sliced",16,Ruble,Computers
763,Chicken - White Meat With Tender,57,Euro,Movies
764,English Muffin,35,Balboa,Clothing
765,"Beef - Ox Tail, Frozen",40,Peso,Outdoors
766,Wine - Gewurztraminer Pierre,81,Naira,Games
767,Turkey - Oven Roast Breast,32,Rial,Garden
768,"Olives - Black, Pitted",78,Real,Beauty
769,Juice - Orange,22,Peso,Jewelry
770,Heavy Duty Dust Pan,59,Rupiah,Shoes
771,Tray - 16in Rnd Blk,60,Yen,Tools
772,Ecolab - Hobart Washarm End Cap,69,Yuan Renminbi,Garden
773,Rice - 7 Grain Blend,63,Yuan Renminbi,Tools
774,"Wine - Red, Lurton Merlot De",49,Krona,Games
775,"Pasta - Cappellini, Dry",53,Zloty,Health
776,Asparagus - Mexican,59,Yuan Renminbi,Books
777,"Wine - White, Colubia Cresh",1,Krona,Automotive
778,Beer - Heinekin,88,Shilling,Books
779,Juice - Ocean Spray Kiwi,58,Yuan Renminbi,Computers
780,Lettuce - Baby Salad Greens,40,Yuan Renminbi,Clothing
781,"Rum - Coconut, Malibu",73,Euro,Sports
782,Sauce - Rosee,66,Rupiah,Clothing
783,Mousse - Banana Chocolate,14,Euro,Sports
784,Bread - Bistro White,57,Franc,Beauty
785,Onion Powder,69,Yuan Renminbi,Grocery
786,Ham Black Forest,95,Ruble,Music
787,Sprouts - Bean,20,Zloty,Clothing
788,Beer - Sleeman Fine Porter,86,Koruna,Automotive
789,"Cheese - Boursin, Garlic / Herbs",68,Peso,Jewelry
790,Soho Lychee Liqueur,3,Krona,Music
791,Wine - Casablanca Valley,66,Zloty,Shoes
792,Container - Clear 16 Oz,42,Shilling,Books
793,Towel - Roll White,92,Real,Beauty
794,"Mushroom - Oyster, Fresh",43,Yuan Renminbi,Games
795,Bread - Corn Muffaletta,37,Ruble,Movies
796,Pepper - Red Chili,39,Yuan Renminbi,Electronics
797,Cheese Cloth,96,Euro,Beauty
798,Beef - Tender Tips,59,Yuan Renminbi,Kids
799,Bread - Sour Batard,68,Real,Kids
800,Snapple - Mango Maddness,35,Yuan Renminbi,Home
801,Flavouring - Orange,91,Shekel,Toys
802,Parsley Italian - Fresh,96,Euro,Outdoors
803,Nori Sea Weed - Gold Label,42,Dollar,Grocery
804,Madeira,23,Yuan Renminbi,Garden
805,"Soup - Campbells, Minestrone",98,Dinar,Jewelry
806,"Veal - Round, Eye Of",11,Euro,Clothing
807,Horseradish Root,4,Rupiah,Toys
808,Avocado,58,Yuan Renminbi,Movies
809,Ecolab - Balanced Fusion,78,Euro,Grocery
810,Appetizer - Escargot Puff,85,Koruna,Computers
811,Carbonated Water - Orange,87,Naira,Music
812,Sauce - Hoisin,46,Rial,Kids
813,Squid - Tubes / Tenticles 10/20,34,Rial,Shoes
814,Wine - German Riesling,26,Real,Beauty
815,Couscous,31,Rupiah,Sports
816,Foil Wrap,73,Euro,Automotive
817,Wine - Casablanca Valley,31,Shilling,Beauty
818,Kellogs All Bran Bars,93,Koruna,Sports
819,Sauce - Marinara,17,Baht,Beauty
820,Sprouts Dikon,76,Zloty,Games
821,"Pork - Loin, Center Cut",39,Shekel,Books
822,Beer - Camerons Auburn,25,Peso,Movies
823,Beer - Blue,66,Baht,Beauty
824,Lighter - Bbq,63,Yuan Renminbi,Garden
825,Red Cod Fillets - 225g,64,Yuan Renminbi,Kids
826,Sugar - Invert,88,Won,Beauty
827,Egg Patty Fried,28,Koruna,Electronics
828,Oil - Canola,31,Birr,Computers
829,Chicken - Whole,33,Franc,Computers
830,Lemon Grass,17,Real,Industrial
831,"Gingerale - Schweppes, 355 Ml",34,Peso,Kids
832,Wine - Sake,36,Yuan Renminbi,Industrial
833,Tarts Assorted,100,Lev,Games
834,"Nut - Almond, Blanched, Ground",12,Leu,Health
835,Extract - Rum,100,Euro,Computers
836,"Gingerale - Schweppes, 355 Ml",82,Yuan Renminbi,Health
837,Nectarines,93,Dollar,Computers
838,Pea - Snow,20,Dollar,Beauty
839,Beer - Sleemans Honey Brown,24,Peso,Sports
840,Mushroom - Porcini Frozen,58,Naira,Grocery
841,Chocolate - Sugar Free Semi Choc,96,Peso,Clothing
842,Chocolate - Unsweetened,72,Krona,Jewelry
843,Sachet,91,Yen,Computers
844,"Chilli Paste, Sambal Oelek",59,Real,Computers
845,Tea - Mint,46,Hryvnia,Games
846,Flavouring - Orange,75,Afghani,Home
847,Laundry - Bag Cloth,49,Hryvnia,Kids
848,Oranges,25,Peso,Sports
849,Marzipan 50/50,77,Rupiah,Beauty
850,Sea Bass - Whole,95,Real,Outdoors
851,"Carrots - Mini, Stem On",43,Koruna,Home
852,Oil - Cooking Spray,34,Krone,Games
853,Wine - Blue Nun Qualitatswein,92,Yuan Renminbi,Movies
854,Wine - Alicanca Vinho Verde,19,Rupiah,Home
855,Chocolate - Dark,4,Yuan Renminbi,Sports
856,Wine - Sicilia Igt Nero Avola,79,Real,Beauty
857,Coffee Decaf Colombian,74,Peso,Home
858,Pastry - Butterscotch Baked,93,Real,Computers
859,Fish - Bones,80,Rial,Computers
860,"Wine - Harrow Estates, Vidal",91,Zloty,Books
861,Cinnamon Rolls,66,Koruna,Baby
862,Shrimp - Black Tiger 26/30,89,Baht,Music
863,"Nut - Pistachio, Shelled",95,Euro,Jewelry
864,Squash - Butternut,42,Peso,Sports
865,"Roe - Lump Fish, Red",70,Euro,Automotive
866,"Wine - Red, Mouton Cadet",29,Sol,Industrial
867,"Cake Circle, Foil, Scallop",95,Yuan Renminbi,Toys
868,Sprouts - Bean,84,Sol,Health
869,"Syrup - Monin, Amaretta",32,Dollar,Electronics
870,Sugar - White Packet,22,Peso,Shoes
871,Lid Tray - 12in Dome,92,Kuna,Shoes
872,Wine - Taylors Reserve,82,Rupiah,Tools
873,Hot Chocolate - Individual,88,Hryvnia,Beauty
874,Tofu - Soft,32,Euro,Computers
875,Bread - Focaccia Quarter,47,Lari,Jewelry
876,"Lobster - Tail, 3 - 4 Oz",98,Boliviano,Baby
877,Pork Salted Bellies,9,Peso,Electronics
878,Soap - Hand Soap,46,Zloty,Kids
879,"Mushroom - Enoki, Dry",93,Zloty,Baby
880,Energy Drink - Franks Pineapple,94,Rupiah,Jewelry
881,Juice - Apple 284ml,78,Yuan Renminbi,Tools
882,Bandage - Finger Cots,22,Rupiah,Games
883,Wine - Acient Coast Caberne,9,Krona,Toys
884,Veal - Bones,86,Real,Toys
885,Sugar - Palm,11,Euro,Kids
886,Mix - Cocktail Ice Cream,41,Hryvnia,Kids
887,"Potatoes - Purple, Organic",36,Rand,Shoes
888,Longos - Greek Salad,70,Krone,Tools
889,Juice - Apple Cider,31,Litas,Computers
890,Soup - Campbells Bean Medley,91,Rupiah,Beauty
891,Sauce - Rosee,69,Peso,Kids
892,Relish,42,Rupee,Garden
893,Wine - Bouchard La Vignee Pinot,94,Dollar,Garden
894,Latex Rubber Gloves Size 9,68,Ringgit,Grocery
895,Pecan Raisin - Tarts,11,Dollar,Home
896,Beans - Kidney White,39,Rial,Automotive
897,Graham Cracker Mix,13,Yuan Renminbi,Kids
898,Mix Pina Colada,99,Yuan Renminbi,Electronics
899,Bread - Triangle White,100,Franc,Automotive
900,Walkers Special Old Whiskey,71,Peso,Games
901,Table Cloth 90x90 Colour,29,Sol,Jewelry
902,Beef - Short Ribs,2,Dollar,Sports
903,Maple Syrup,35,Yen,Industrial
904,Veal - Liver,42,Yuan Renminbi,Computers
905,Spice - Pepper Portions,50,Real,Jewelry
906,Flounder - Fresh,32,Yuan Renminbi,Health
907,Wooden Mop Handle,57,Yuan Renminbi,Baby
908,Soup - Verve - Chipotle Chicken,15,Sol,Grocery
909,Nut - Pumpkin Seeds,23,Ruble,Shoes
910,Milk - 2% 250 Ml,70,Franc,Automotive
911,Cocoa Butter,18,Yuan Renminbi,Clothing
912,Bar Nature Valley,87,Rupiah,Music
913,"Veal - Brisket, Provimi,bnls",37,Dollar,Industrial
914,Ecolab - Balanced Fusion,39,Yuan Renminbi,Outdoors
915,Island Oasis - Cappucino Mix,31,Euro,Grocery
916,Longos - Lasagna Beef,13,Zloty,Health
917,Chivas Regal - 12 Year Old,18,Naira,Home
918,"Coffee - Beans, Whole",85,Quetzal,Kids
919,Wine - Penfolds Koonuga Hill,36,Yen,Tools
920,"Basil - Dry, Rubbed",35,Yuan Renminbi,Tools
921,Hummus - Spread,24,Rupiah,Garden
922,Cake - Cheese Cake 9 Inch,30,Tenge,Baby
923,Squash - Sunburst,75,Dollar,Computers
924,Pastry - Choclate Baked,27,Shilling,Tools
925,Langers - Ruby Red Grapfruit,43,Yuan Renminbi,Tools
926,Nantucket - Orange Mango Cktl,7,Ruble,Health
927,Curry Powder,44,Dirham,Jewelry
928,Otomegusa Dashi Konbu,45,Denar,Grocery
929,Bread - Italian Corn Meal Poly,20,Krona,Outdoors
930,Pepper - Jalapeno,74,Yuan Renminbi,Music
931,Beer - Sleeman Fine Porter,61,Yuan Renminbi,Music
932,Nantuket Peach Orange,24,Yuan Renminbi,Toys
933,Maple Syrup,72,Real,Sports
934,"Syrup - Monin, Amaretta",96,Baht,Electronics
935,Horseradish - Prepared,85,Naira,Health
936,Ice Cream Bar - Oreo Cone,94,Krona,Shoes
937,Ecolab Silver Fusion,68,Rand,Grocery
938,Shiro Miso,20,Koruna,Clothing
939,Wine - Penfolds Koonuga Hill,76,Rupiah,Beauty
940,Beef - Ground Lean Fresh,2,Dollar,Books
941,Bread - Assorted Rolls,22,Yuan Renminbi,Movies
942,Ostrich - Fan Fillet,48,Yuan Renminbi,Beauty
943,"Pasta - Cappellini, Dry",74,Pound,Automotive
944,"Pail - 15l White, With Handle",13,Tugrik,Toys
945,"Soda Water - Club Soda, 355 Ml",33,Rupiah,Jewelry
946,Soup - Campbells Mac N Cheese,87,Yuan Renminbi,Health
947,Bread - Italian Sesame Poly,78,Rupiah,Kids
948,Tilapia - Fillets,60,Euro,Health
949,Breadfruit,31,Ruble,Music
950,Appetizer - Seafood Assortment,46,Dirham,Beauty
951,Bread - Kimel Stick Poly,13,Peso,Grocery
952,"Chocolate - Milk, Callets",22,Ruble,Electronics
953,Cake - Mini Cheesecake,51,Yuan Renminbi,Baby
954,Artichokes - Jerusalem,45,Koruna,Books
955,Cranberries - Dry,100,Dollar,Sports
956,Bread - Raisin Walnut Pull,59,Kip,Books
957,V8 - Vegetable Cocktail,52,Rupiah,Beauty
958,Longos - Chicken Wings,7,Ruble,Clothing
959,Yogurt - Assorted Pack,9,Sol,Toys
960,Banana Turning,50,Yuan Renminbi,Outdoors
961,"Wine - Saint - Bris 2002, Sauv",38,Yen,Kids
962,Tomatoes - Cherry,15,Rupiah,Outdoors
963,"Mushrooms - Black, Dried",86,Yuan Renminbi,Computers
964,Sprite - 355 Ml,78,Yen,Tools
965,Beans - Green,93,Sol,Tools
966,"Beef - Ox Tail, Frozen",98,Peso,Toys
967,Ham Black Forest,39,Euro,Music
968,Syrup - Chocolate,82,Yuan Renminbi,Tools
969,Veal - Heart,19,Dollar,Sports
970,Pecan Raisin - Tarts,71,Bolivar,Outdoors
971,Rappini - Andy Boy,25,Peso,Movies
972,Flour - Fast / Rapid,51,Real,Garden
973,Noodles - Steamed Chow Mein,12,Pound,Tools
974,Soup - Cream Of Potato / Leek,59,Yuan Renminbi,Sports
975,Bread - Raisin,70,Ruble,Toys
976,Table Cloth 54x72 Colour,6,Yuan Renminbi,Toys
977,Swordfish Loin Portions,58,Rupiah,Games
978,Cranberries - Fresh,42,Taka,Toys
979,Instant Coffee,84,Dollar,Home
980,"Quail - Eggs, Fresh",19,Yuan Renminbi,Clothing
981,Tarragon - Fresh,25,Lempira,Outdoors
982,Cheese - St. Paulin,99,Dinar,Toys
983,"Salmon - Atlantic, No Skin",24,Manat,Baby
984,Pork - Side Ribs,59,Krona,Grocery
985,Paper Towel Touchless,75,Yuan Renminbi,Electronics
986,Grapes - Red,29,Yuan Renminbi,Outdoors
987,Ham - Virginia,64,Real,Baby
988,Cheese - Cambozola,40,Zloty,Health
989,"Beef - Kindney, Whole",85,Real,Games
990,Garbag Bags - Black,23,Rupiah,Industrial
991,Lettuce - Lolla Rosa,19,Euro,Music
992,Lamb - Shanks,4,Yuan Renminbi,Shoes
993,Apricots - Halves,1,Peso,Home
994,Browning Caramel Glace,41,Zloty,Garden
995,Soup Knorr Chili With Beans,99,Manat,Toys
996,Muffin - Mix - Bran And Maple 15l,64,Real,Toys
997,Absolut Citron,45,Euro,Industrial
998,Taro Leaves,73,Yuan Renminbi,Clothing
999,Bag Stand,96,Rupiah,Clothing
1000,V8 Splash Strawberry Kiwi,96,Zloty,Baby
